game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
Grounded,Xbox Series X,2022/09/27,82,7.6,"Obsidian Entertainment, Xbox Game Studios","Survival, Action Adventure, Sandbox",26,105
Penko Park,Switch,2022/09/27,82,NA,Ghostbutter,"Adventure, 3D, First-Person",13,NA
The Legend of Heroes: Trails from Zero,PlayStation 4,2022/09/27,80,7.7,Falcom,"Role-Playing, Japanese-Style",16,14
FIFA 23,Xbox Series X,2022/09/27,79,2.2,"EA Sports, EA Canada","Sports, Team, Soccer, Sim",16,43
Dome Keeper,PC,2022/09/27,76,8.2,Bippinbits,"Action, Strategy, Real-Time, General, Defense",7,9
FIFA 23,PlayStation 5,2022/09/27,76,2.2,"EA Sports, EA Canada","Sports, Team, Soccer, Sim",68,192
Moonscars,PC,2022/09/27,76,5.8,Black Mermaid,"Action, Platformer, Metroidvania",20,24
Moonscars,PlayStation 5,2022/09/27,71,4.7,Black Mermaid,"Action, Platformer, Metroidvania",10,6
Life is Strange: Arcadia Bay Collection,Switch,2022/09/27,67,4.7,DONTNOD Entertainment,"Miscellaneous, Compilation",19,16
Hokko Life,Switch,2022/09/27,62,NA,Wonderscope,"Simulation, Virtual, Virtual Life",11,NA
Shovel Knight Dig,Switch,2022/09/23,85,7.6,"Yacht Club Games, Nitrome","Action, Platformer, 2D",12,9
Prodeus,PC,2022/09/23,84,7.6,"Mike and Jason, Bounding Box Games","Action, Shooter, First-Person, Arcade",14,13
Shovel Knight Dig,PC,2022/09/23,81,6.7,Yacht Club Games,"Action, Platformer, 2D",23,10
Taiko no Tatsujin: Rhythm Festival,Switch,2022/09/23,80,NA,Bandai Namco Games,"Action, Rhythm, Music",18,NA
Beacon Pines,Switch,2022/09/22,85,7.3,Hiding Spot,"Adventure, General",14,8
Beacon Pines,PC,2022/09/22,83,7.9,Hiding Spot,"Adventure, General",8,9
The DioField Chronicle,Xbox Series X,2022/09/22,78,2.9,"Square Enix, Lancarse","Turn-Based, General, Strategy, Real-Time, Tactics",7,16
Potion Permit,Switch,2022/09/22,72,NA,MassHive Media,"Role-Playing, General, Japanese-Style",21,NA
The DioField Chronicle,PlayStation 5,2022/09/22,71,4.5,"Square Enix, Lancarse","Turn-Based, General, Strategy, Real-Time, Tactics",26,81
