game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
Mini Metro,PC,2014/08/11,77,7.7,Dinosaur Polo Club,"Strategy, City Building, Management, Modern, Government",8,94
Five Nights at Freddy's,PC,2014/08/08,78,7.5,animdude,"Action Adventure, Adventure, General, Survival",8,700
Cloud Chamber,PC,2014/08/07,74,7.2,Investigate North Aps,"Role-Playing, Miscellaneous, Adventure, General, Massively Multiplayer, Application",9,29
Back to Bed,PC,2014/08/06,57,5.8,Bedtime Digital Games,"General, Puzzle, Action, General",13,31
The Swapper,PlayStation 4,2014/08/05,83,7.6,Facepalm Games,"Action, Platformer, 2D",28,222
MIND: Path to Thalamus,PC,2014/08/05,75,6.8,Carlos Coronado,"Action, Shooter, First-Person, Sci-Fi, Arcade",18,92
Road Not Taken,PC,2014/08/05,75,6.5,Spry Fox,"Miscellaneous, Puzzle, General",20,19
Road Not Taken,PlayStation 4,2014/08/05,70,5.7,Spry Fox,"Miscellaneous, General, Puzzle, Puzzle, General",23,84
Metrico,PlayStation Vita,2014/08/05,68,5.8,Digital Dreams,"General, Miscellaneous, Puzzle, Action, General",41,48
Table Top Racing,PlayStation Vita,2014/08/05,63,7,Playrise Edge Ltd.,"Driving, Racing, Arcade, Automobile",21,21
Sacred 3,PlayStation 3,2014/08/05,56,3.5,"Deep Silver, Keen Games","Role-Playing, Action RPG, Action RPG",13,54
Sacred 3,Xbox 360,2014/08/05,51,4.2,"Deep Silver, Keen Games","Role-Playing, Action RPG, Action RPG",11,45
Nom Nom Galaxy,PC,2014/08/03,68,6.1,Q-Games,"Action, General",7,10
Steel Empire,3DS,2014/07/31,72,7.7,Mebius,"Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal",8,7
Sacred 3,PC,2014/07/31,57,1.5,Deep Silver,"Action RPG, Role-Playing, Action RPG",47,524
The Last of Us Remastered,PlayStation 4,2014/07/29,95,9.2,Naughty Dog,"Action Adventure, General, Modern",70,18506
Rogue Legacy,PlayStation Vita,2014/07/29,85,7.8,Cellar Door Games,"Action, Platformer, Platformer, 2D, 2D",7,96
Rogue Legacy,PlayStation 4,2014/07/29,85,7.7,Cellar Door Games,"Action, Platformer, Platformer, 2D, 2D",22,268
Ratchet & Clank Collection,PlayStation Vita,2014/07/29,76,7.8,Mass Media,"Miscellaneous, Compilation",23,124
Pure Pool,PlayStation 4,2014/07/29,75,6.9,VooFoo Studios,"Alternative, Other, Sports, Miscellaneous, Parlor, Individual, Billiards",14,83
WRC 4: FIA World Rally Championship,PlayStation 3,2014/07/29,63,5.8,Milestone S.r.l,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",11,25
Firefall,PC,2014/07/29,60,6.8,Red 5 Studios,"Shooter, Sci-Fi, Sci-Fi, Action, Shooter, Third-Person, Arcade",22,240
Siesta Fiesta,3DS,2014/07/24,81,7.4,Mojo Bones,"Puzzle, Action, General",16,15
Gods Will Be Watching,PC,2014/07/24,64,6.5,Devolver Digital,"Adventure, General, Point-and-Click",45,146
Wooden Sen'SeY,Wii U,2014/07/24,62,7.8,Upper Byte,"Action, Platformer, 2D",15,14
Super Toy Cars,Wii U,2014/07/24,56,7.4,Eclipse Games,"Driving, Racing, Arcade, Automobile",13,7
The Walking Dead: Season Two Episode 4 - Amid the Ruins,Xbox 360,2014/07/23,71,7.2,Telltale Games,"General, Action, Adventure, General, Point-and-Click",10,41
Unrest,PC,2014/07/23,65,6.1,Pyrodactyl Games,"General, Role-Playing, General",15,21
Oddworld: Abe's Oddysee - New 'n' Tasty,PlayStation 4,2014/07/22,84,7.8,Just Add Water,"Platformer, 2D, Action, Platformer, 2D",50,378
Dark Souls II: Crown of the Sunken King,PlayStation 3,2014/07/22,83,8.1,Namco Bandai Games,"Role-Playing, Action RPG",18,67
Dark Souls II: Crown of the Sunken King,PC,2014/07/22,82,7.5,Namco Bandai Games,"Role-Playing, Action RPG",19,208
Dark Souls II: Crown of the Sunken King,Xbox 360,2014/07/22,80,8.2,Namco Bandai Games,"Role-Playing, Action RPG",8,64
Atelier Rorona Plus: The Alchemist of Arland,PlayStation Vita,2014/07/22,79,8,Gust,"Role-Playing, General, Japanese-Style",12,52
OlliOlli,PC,2014/07/22,78,6.7,Tom Hegarty,"Sports, Alternative, Individual, Skateboarding, Skate / Skateboard",12,32
The Walking Dead: Season Two Episode 4 - Amid the Ruins,PC,2014/07/22,78,8,Telltale Games,"General, Action, Adventure, General, Point-and-Click",39,249
Hearthstone: Heroes of Warcraft - Curse of Naxxramas,PC,2014/07/22,78,6.2,Blizzard Entertainment,"Strategy, Miscellaneous, Turn-Based, Card Battle",12,91
The Walking Dead: Season Two Episode 4 - Amid the Ruins,PlayStation 3,2014/07/22,78,7.9,Telltale Games,"General, Action, Adventure, General, Point-and-Click",7,42
Halfway,PC,2014/07/22,69,6.2,Robotality,"Sci-Fi, Strategy, Turn-Based, Tactics",13,20
Tour de France 2014,PlayStation 4,2014/07/22,53,5.5,Cyanide,"Sports, Alternative, Individual, Biking",9,26
Freedom Planet,PC,2014/07/21,83,8.3,GalaxyTrail,"Action, Platformer, 2D",7,142
So Many Me,PC,2014/07/17,78,7.1,Extend Interactive,"Miscellaneous, Action, Puzzle, Puzzle, Action",7,22
Rogue Stormers,PC,2014/07/17,68,7.4,Black Forest Games,"Action, General, Platformer, 2D",10,19
Abyss Odyssey,Xbox 360,2014/07/16,64,6.5,ACE Team,"Action Adventure, Fantasy, Linear",7,8
Magic: Duels of the Planeswalkers 2015,PC,2014/07/16,60,3.2,Wizards of the Coast,"Strategy, Miscellaneous, Turn-Based, Card Battle",25,127
Abyss Odyssey,PlayStation 3,2014/07/15,70,6.2,ACE Team,"Action Adventure, Fantasy, Linear",7,13
Abyss Odyssey,PC,2014/07/15,69,7.4,ACE Team,"Action Adventure, Fantasy, Linear",26,81
Crimsonland,PlayStation 4,2014/07/15,64,6.2,"10tons Entertainment, 10tons","Action, Shooter, Scrolling, Shoot-'Em-Up, Top-Down, Vertical",16,38
Wayward Manor,PC,2014/07/15,41,4.4,Moonshark,"General, General, Adventure, Puzzle, Action, Point-and-Click",23,17
Infinity Runner,PC,2014/07/14,56,6.4,Wales Interactive,"Action, General, Platformer, Arcade, 3D",8,7
LIGHT (2014),PC,2014/07/14,49,5.1,Just A Pixel,"Miscellaneous, Puzzle, General",21,11
The Lost Chronicles of Zerzura,PC,2014/07/10,76,7,Cranberry Production,"Adventure, General, General",9,20
Quest for Infamy,PC,2014/07/10,63,7.6,Infamous Quests,"Adventure, General, Point-and-Click",9,38
The Wolf Among Us: Episode 5 - Cry Wolf,Xbox 360,2014/07/09,85,7.9,Telltale Games,"Action Adventure, Adventure, General, Fantasy, Point-and-Click",15,97
Whispering Willows,PC,2014/07/09,64,7.2,Night Light Interactive,"Miscellaneous, Adventure, General, Puzzle",10,49
4PM,PC,2014/07/09,41,4.2,Bojan Brbora,"Adventure, General, 3D, First-Person",7,26
The Wolf Among Us: Episode 5 - Cry Wolf,PC,2014/07/08,84,8.5,Telltale Games,"Fantasy, Action Adventure, Adventure, General, Fantasy, Point-and-Click",33,418
The Wolf Among Us: Episode 5 - Cry Wolf,PlayStation 3,2014/07/08,75,7.9,Telltale Games,"Action Adventure, Adventure, General, Fantasy, Point-and-Click",7,57
MouseCraft,PC,2014/07/08,72,6.8,NA,NA,NA,NA
MouseCraft,PlayStation 4,2014/07/08,72,5.7,Crunching Koalas,"Miscellaneous, Puzzle, Action, General",12,49
One Piece: Unlimited World Red,PlayStation 3,2014/07/08,71,7.1,Ganbarion,"Action, Action Adventure, General",28,49
One Piece: Unlimited World Red,Wii U,2014/07/08,66,7.9,Ganbarion,"Action, Action Adventure, General",11,47
Black The Fall,PC,2014/07/04,72,6.7,Sand Sailor Studio,"Action, General, Platformer, 3D",23,41
Le Tour de France 2013 - 100th Edition,Xbox 360,2014/07/04,51,5.9,Cyanide,"Sports, Alternative, Individual, Biking, Biking",10,14
Armillo,Wii U,2014/07/03,72,8,Fuzzy Wuzzy Games,"Action, Platformer, Platformer, 3D, 3D",13,42
Squids Odyssey,3DS,2014/07/03,72,NA,The Game Bakers,"Role-Playing, Console-style RPG, Japanese-Style",7,NA
Guacamelee! Super Turbo Championship Edition,Wii U,2014/07/02,90,7.7,DrinkBox Studios,"Action, Platformer, 2D, , Metroidvania",9,149
Guacamelee! Super Turbo Championship Edition,Xbox One,2014/07/02,88,7,DrinkBox Studios,"Action, Platformer, 2D, , Metroidvania",7,197
Guacamelee! Super Turbo Championship Edition,PlayStation 4,2014/07/01,87,7.7,DrinkBox Studios,"Action, Platformer, 2D, , Metroidvania",30,406
Child of Light,PlayStation Vita,2014/07/01,83,7.9,Ubisoft Montreal,"Role-Playing, General",15,131
Sunless Sea,PC,2014/07/01,81,7.5,Failbetter Games,"Sci-Fi, Action Adventure, General",38,175
Sniper Elite III,PlayStation 4,2014/07/01,67,7.1,Rebellion,"Shooter, Historic, Action, Shooter, Third-Person, Tactical, Historic",41,252
Dynasty Warriors: Gundam Reborn,PlayStation 3,2014/07/01,64,7.7,Omega Force,"Action, Beat-'Em-Up, 3D",35,29
Sniper Elite III,Xbox One,2014/07/01,63,7,Rebellion,"Shooter, Historic, Action, Shooter, Third-Person, Tactical, Historic",12,91
Sniper Elite III,PC,2014/06/27,71,6.8,Rebellion,"Shooter, Historic, Action, Shooter, Third-Person, Tactical, Historic",29,461
Shovel Knight,3DS,2014/06/26,90,8.3,Yacht Club Games,"Platformer, 2D, Action, Platformer, 2D",9,301
Shovel Knight,Wii U,2014/06/26,88,8.4,Yacht Club Games,"Platformer, 2D, Action, Platformer, 2D",24,316
Shovel Knight,PC,2014/06/26,85,8,Yacht Club Games,"Platformer, 2D, Action, Platformer, 2D",46,536
GRID Autosport,PC,2014/06/26,78,6.3,Codemasters,"Driving, Racing, Simulation, GT / Street, Automobile",35,297
Toy Stunt Bike,3DS,2014/06/26,58,7.4,Wobbly Tooth Ltd,"Driving, Racing, General, Arcade, Automobile",8,10
Cocoro: Line Defender,3DS,2014/06/26,47,NA,Moving Player,"Strategy, Real-Time, General, Defense",7,NA
Valiant Hearts: The Great War,Xbox One,2014/06/25,81,8,Ubisoft Montpellier,"Platformer, 2D, Action, Platformer, 2D",16,216
Valiant Hearts: The Great War,PC,2014/06/25,79,8.6,Ubisoft Montpellier,"Platformer, 2D, Action, Platformer, 2D",28,709
Resogun: Heroes,PlayStation 4,2014/06/24,86,7.3,Housemarque,"Action, Shooter, Scrolling, Shoot-'Em-Up, Horizontal",10,102
Atelier Rorona Plus: The Alchemist of Arland,PlayStation 3,2014/06/24,80,8,Gust,"Role-Playing, General, Japanese-Style",18,45
Plants vs Zombies: Garden Warfare,PC,2014/06/24,78,7.7,PopCap,"General, Action, General, Shooter, Third-Person, Tactical",11,218
Valiant Hearts: The Great War,PlayStation 4,2014/06/24,77,8.2,Ubisoft Montpellier,"Platformer, 2D, Action, Platformer, 2D",48,670
GRID Autosport,Xbox 360,2014/06/24,75,6,Codemasters,"Driving, Racing, Simulation, GT / Street, Automobile",15,62
GRID Autosport,PlayStation 3,2014/06/24,75,6.5,Codemasters,"Driving, Racing, Simulation, GT / Street, Automobile",35,68
Killzone: Shadow Fall - Intercept,PlayStation 4,2014/06/24,72,6.7,Guerrilla,"Action, Shooter, First-Person, Sci-Fi, Arcade",23,76
Transformers: Rise of the Dark Spark,PC,2014/06/24,49,4.6,Edge of Reality,"Action Adventure, Sci-Fi, General",10,75
Blue Estate,PlayStation 4,2014/06/24,49,6,HeSaw,"Action, Shooter, Light Gun, Rail",19,86
Transformers: Rise of the Dark Spark,Xbox One,2014/06/24,47,4.9,Edge of Reality,"Action Adventure, Sci-Fi, General",7,56
Transformers: Rise of the Dark Spark,Xbox 360,2014/06/24,44,5.3,Edge of Reality,"Action Adventure, Sci-Fi, General",7,31
Transformers: Rise of the Dark Spark,PlayStation 4,2014/06/24,43,4.2,Edge of Reality,"Action Adventure, Sci-Fi, General",32,105
Company of Heroes 2: The Western Front Armies,PC,2014/06/23,80,6.9,"Relic, Relic Entertainment","Strategy, Real-Time, General, Historic",29,121
Pushmo World,Wii U,2014/06/19,80,8,Intelligent Systems,"Miscellaneous, Puzzle, Action, Logic",37,60
Another World: 20th Anniversary Edition,Wii U,2014/06/19,73,7.7,The Digital Lounge,"Action, Platformer, 2D",7,20
Pro Cycling Manager Season 2014: Le Tour de France,PC,2014/06/19,67,7,Cyanide,"Sports, Alternative, Individual, Biking",11,9
How to Survive,Wii U,2014/06/19,55,6.1,EKO Software,"Action Adventure, Horror, Survival",9,16
Sixty Second Shooter Prime,Xbox One,2014/06/18,61,7.1,Happion Laboratories,"Action, Shooter, Static, Shoot-'Em-Up, Top-Down",8,16
MotoGP 13,PlayStation 3,2014/06/17,73,5.2,Milestone S.r.l,"Driving, Racing, Simulation, Motorcycle, Automobile, Motocross, Street",10,12
EA Sports UFC,Xbox One,2014/06/17,70,6.3,EA Sports,"General, Sports, General, Individual, Combat, Boxing / Martial Arts",23,163
EA Sports UFC,PlayStation 4,2014/06/17,70,6.1,EA Sports,"General, Sports, General, Individual, Combat, Boxing / Martial Arts",57,296
Battle Princess of Arcadias,PlayStation 3,2014/06/17,69,8,ApolloSoft,"Role-Playing, Action RPG",22,25
Magical Beat,PlayStation Vita,2014/06/17,67,6.9,Arc System Works,"Action, Miscellaneous, Rhythm, Music",9,7
The Incredible Adventures of Van Helsing II,PC,2014/06/13,77,7.7,NeocoreGames,"Role-Playing, Action RPG",36,243
Inazuma Eleven Go: Shadow,3DS,2014/06/13,75,7.3,Level 5,"Sports, Traditional, Soccer, Arcade",14,25
Inazuma Eleven Go: Light,3DS,2014/06/13,74,7.7,Level 5,"Sports, Traditional, Soccer, Arcade",19,20
Shadows: Heretic Kingdoms,PC,2014/06/13,74,7,Games Farm,"Role-Playing, Action RPG, PC-style RPG, Western-Style",15,58
Space Run,PC,2014/06/13,73,7.6,Passtech Games,"Strategy, Real-Time, Sci-Fi, General, Defense",17,58
SpinTires,PC,2014/06/12,67,7.8,Oovee Game Studios,"Driving, Rally / Offroad, Simulation, Racing, Vehicle, Automobile, Civilian",15,167
AiRace Xeno,3DS,2014/06/12,66,6.8,QubicGames,"Driving, Racing, Arcade, Futuristic",8,8
Blood of the Werewolf,Xbox 360,2014/06/11,75,6.6,Scientifically Proven,"Action, Platformer, 2D",8,17
Munin,PC,2014/06/10,68,6.9,Gojira,"Action, Platformer, 2D",14,15
Enemy Front,PC,2014/06/10,52,5.5,CI Games,"Shooter, Historic, Action, Shooter, First-Person, Tactical, Historic",13,124
Enemy Front,PlayStation 3,2014/06/10,43,5.8,CI Games,"Shooter, Historic, Action, Shooter, First-Person, Tactical, Historic",12,87
Enemy Front,Xbox 360,2014/06/10,35,5.6,CI Games,"Action, Shooter, Shooter, First-Person, Tactical, Historic, Historic",8,85
Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,Xbox One,2014/06/09,75,6.2,Capcom Vancouver,"Action, Action Adventure, General, Open-World",13,32
Entwined,PlayStation 4,2014/06/09,59,6.7,Pixel Opus,"Action, General, Arcade",49,185
Tomodachi Life,3DS,2014/06/06,71,7.6,Nintendo,"Simulation, Miscellaneous, General, Virtual, Virtual Life",52,246
Concursion,PC,2014/06/06,66,7.5,Puuba,"General, Action, Platformer, 2D",7,14
Nether,PC,2014/06/05,57,4.6,"Phosphor Games Studio, LLC","Sci-Fi, Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",7,123
Marvel Heroes 2015,PC,2014/06/04,81,8.2,Gazillion,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",10,584
Ultra Street Fighter IV,Xbox 360,2014/06/03,84,7,Capcom,"Fighting, 3D, Action, Fighting, 2D, 3D",29,89
Ultra Street Fighter IV,PlayStation 3,2014/06/03,83,7.6,Capcom,"Fighting, 3D, Action, Fighting, 2D, 3D",28,102
PixelJunk Shooter Ultimate,PlayStation 4,2014/06/03,82,7.2,Double Eleven,"Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical",8,158
WildStar,PC,2014/06/03,82,7.6,Carbine Studios,"Sci-Fi, Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi",52,959
1001 Spikes,PlayStation 4,2014/06/03,78,6.5,Nicalis,"Action, Platformer, Platformer, 2D, 2D",8,37
War Thunder,PlayStation 4,2014/06/03,76,5.2,Gaijin Entertainment,"Action, Simulation, General, Flight, Vehicle, Combat",17,454
PlayStation Vita Pets,PlayStation Vita,2014/06/03,63,7.5,Spiral House,"Simulation, Miscellaneous, Virtual Life, Virtual, Pet",16,20
Worms Battlegrounds,PlayStation 4,2014/06/03,62,5.9,Team17,"Strategy, Turn-Based, Wargame, Artillery",16,81
Murdered: Soul Suspect,PC,2014/06/03,59,7.3,Airtight Games,"General, Action, Action Adventure, General, Horror, Survival",22,511
Murdered: Soul Suspect,PlayStation 4,2014/06/03,59,7,Airtight Games,"Action, Action Adventure, General, Horror, Survival",60,476
Hyperdimension Neptunia PP: Producing Perfection,PlayStation Vita,2014/06/03,54,6.2,Tamsoft,"Action, Simulation, Miscellaneous, Rhythm, Virtual, Music, Music, Career",20,60
Murdered: Soul Suspect,Xbox One,2014/06/03,51,7.1,Airtight Games,"Action, Action Adventure, General, Horror, Survival",17,170
Mario Kart 8,Wii U,2014/05/30,88,8.8,Nintendo,"Driving, Racing, Arcade, Kart, Kart, Automobile",82,1980
Astebreed,PC,2014/05/30,86,7.4,Edelweiss,"Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal",14,128
The Fall,PC,2014/05/30,76,7.4,Over The Moon,"Action, Action Adventure, Sci-Fi, General",17,82
Worms Battlegrounds,Xbox One,2014/05/30,70,6.2,Team17,"Strategy, Turn-Based, Wargame, Artillery",12,40
Europa Universalis IV: Wealth of Nations,PC,2014/05/29,84,8.5,Paradox Development Studio,"Strategy, Real-Time, General, Historic",9,31
Anomaly Defenders,PC,2014/05/29,70,6.5,11 bit studios,"Strategy, Real-Time, General, Sci-Fi, Defense",14,32
Among the Sleep,PC,2014/05/29,66,7.4,Krillbite Studio,"Modern, Adventure, 3D, First-Person, Modern",40,245
Gravity Badgers,Wii U,2014/05/29,48,NA,Wales Interactive,"Puzzle, Action, General",7,NA
The Wolf Among Us: Episode 4 - In Sheep's Clothing,Xbox 360,2014/05/28,74,7.9,Telltale Games,"Action Adventure, Adventure, General, Fantasy, Point-and-Click",14,48
Monochroma,PC,2014/05/28,55,6.9,Nowhere Studios,"Action, Platformer, 2D",27,123
Watch Dogs,PlayStation 4,2014/05/27,80,6.6,Ubisoft Montreal,"Modern, Action Adventure, General, Modern, Open-World",80,3764
Sly Cooper Collection,PlayStation Vita,2014/05/27,80,7.9,Sanzaru Games,"Miscellaneous, Compilation",30,90
Watch Dogs,Xbox One,2014/05/27,78,6.2,Ubisoft Montreal,"Action Adventure, Modern, General, Modern, Open-World",15,860
The Wolf Among Us: Episode 4 - In Sheep's Clothing,PC,2014/05/27,75,7.9,Telltale Games,"Fantasy, Action Adventure, Adventure, General, Fantasy, Point-and-Click",29,203
Magicka: Wizard Wars,PC,2014/05/27,69,7.1,Paradox North,"Action Adventure, Fantasy, General",10,47
Monster Monpiece,PlayStation Vita,2014/05/27,67,7.5,Compile Heart,"Strategy, Miscellaneous, Turn-Based, Card Battle",13,69
Lemmings Touch,PlayStation Vita,2014/05/27,63,6.7,d3t Ltd,"Miscellaneous, Puzzle, Action",20,9
Mind Zero,PlayStation Vita,2014/05/27,59,6.7,Zerodiv,"Role-Playing, First-Person, General, Japanese-Style, Western-Style",13,66
Ace Combat Infinity,PlayStation 3,2014/05/27,54,5.8,Project Aces,"Flight, Action, Simulation, Flight, Combat",14,68
Watch Dogs,PC,2014/05/26,77,6.1,Ubisoft Montreal,"Miscellaneous, General, Action Adventure, Modern, General, Modern, Open-World",18,4749
Tropico 5,PC,2014/05/23,75,6.9,"Haemimont, Haemimont Games","Tycoon, Strategy, Management, Tycoon, Government, Business / Tycoon",51,419
Killer Is Dead: Nightmare Edition,PC,2014/05/23,71,6.4,Grasshopper Manufacture,"Action Adventure, Sci-Fi, General",8,118
Swords & Soldiers HD,Wii U,2014/05/22,78,6.7,Two Tribes,"Strategy, General",11,32
Panzer Tactics HD,PC,2014/05/22,69,7.3,"Sproing Interactive Media, Sproing","Strategy, Turn-Based, Historic, Tactics",11,6
Squids Odyssey,Wii U,2014/05/22,68,7.1,The Game Bakers,"Role-Playing, Console-style RPG, Japanese-Style",14,8
Turtle Tale,3DS,2014/05/22,41,NA,Saturnine Games,"Action, General, Platformer, 2D",7,NA
Always Sometimes Monsters,PC,2014/05/21,73,7.2,Vagabond Dog,"General, Adventure, General",26,82
Transistor,PlayStation 4,2014/05/20,83,8.2,Supergiant Games,"Role-Playing, Action RPG, Action RPG",57,674
Transistor,PC,2014/05/20,83,8.3,Supergiant Games,"Role-Playing, Action RPG, Action RPG",35,904
Wolfenstein: The New Order,PlayStation 4,2014/05/20,79,8.2,MachineGames,"General, Shooter, Historic, Action, Shooter, First-Person, Historic, Arcade",73,1775
The Last Door,PC,2014/05/20,79,7.7,The Game Kitchen,"Adventure, General",10,56
Wolfenstein: The New Order,Xbox One,2014/05/20,79,8.1,MachineGames,"General, Shooter, Historic, Action, Shooter, First-Person, Historic, Arcade",18,625
Sparkle 2,PlayStation 4,2014/05/20,66,6.1,"10tons Ltd, 10tons","Action, Puzzle, General, Matching",7,37
Drakengard 3,PlayStation 3,2014/05/20,61,8.1,Access Games,"Action RPG, Role-Playing, Action RPG",33,327
Mugen Souls Z,PlayStation 3,2014/05/20,57,6.3,Compile Heart,"General, Role-Playing, General, Japanese-Style",26,59
Wolfenstein: The New Order,PC,2014/05/19,81,8.2,MachineGames,"General, Action, Shooter, First-Person, Historic, Arcade",23,2375
King's Bounty: Dark Side,PC,2014/05/16,73,6.4,1C-Softclub,"Strategy, Turn-Based, General, Fantasy",13,96
BattleBlock Theater,PC,2014/05/15,85,7.9,The Behemoth,"Action, Platformer, 2D",17,296
Scram Kitty and His Buddy on Rails,Wii U,2014/05/15,79,7.7,Dakko Dakko,"General, Action, General",25,40
Titanfall: Expedition,Xbox One,2014/05/15,73,4.7,Respawn Entertainment,"Action, Shooter, First-Person, Sci-Fi, Arcade",10,120
Heavy Bullets,PC,2014/05/15,72,8,NA,NA,NA,NA
DreadOut,PC,2014/05/15,55,6.4,Digital Happiness,"Action Adventure, Horror, Survival",9,106
Jagged Alliance: Flashback,PC,2014/05/15,52,4.2,"Full Control ApS, Full Control","Strategy, Turn-Based, Historic, Historic, Tactics",10,76
The Walking Dead: Season Two Episode 3 - In Harm's Way,Xbox 360,2014/05/14,82,7.9,Telltale Games,"General, Action, Adventure, General, Point-and-Click",12,65
Super Time Force,Xbox 360,2014/05/14,81,5.8,Capy Games,"Action, Platformer, Shooter, 2D, Scrolling, Shoot-'Em-Up, Vertical",10,24
Super Time Force,Xbox One,2014/05/14,80,6.5,Capy Games,"Action, Platformer, Shooter, 2D, Scrolling, Shoot-'Em-Up, Vertical",36,118
Soul Sacrifice Delta,PlayStation Vita,2014/05/13,82,8.5,SCE Japan Studio,"Role-Playing, Action RPG",24,151
The Walking Dead: Season Two Episode 3 - In Harm's Way,PC,2014/05/13,81,8,Telltale Games,"General, Action, Adventure, General, Point-and-Click",39,285
The Walking Dead: Season Two Episode 3 - In Harm's Way,PlayStation 3,2014/05/13,80,7.9,Telltale Games,"General, Action, Adventure, General, Point-and-Click",6,63
Memento Mori 2,PC,2014/05/13,65,7.5,NA,NA,NA,NA
"War, the Game",PC,2014/05/13,65,7.3,GabberGames,"Military, Strategy, Real-Time, General",11,15
The Last Tinker: City of Colors,PC,2014/05/12,72,6.5,Mimimi Productions,"Action, Platformer, 3D",41,35
Chronology,PC,2014/05/12,64,6.8,osao games,"Action, Platformer, 2D",10,17
Kero Blaster,PC,2014/05/11,82,7.2,Studio Pixel,"General, Action, Platformer, Shooter, 2D, Scrolling, Shoot-'Em-Up, Vertical",14,45
The Denpa Men 3: The Rise of Digitoll,3DS,2014/05/08,75,7.9,Genius Sonority Inc.,"Role-Playing, General",13,15
Age of Mythology: Extended Edition,PC,2014/05/08,66,7.6,Ensemble Studios,"Strategy, Real-Time, General, Fantasy",7,187
The Impossible Game,PC,2014/05/08,64,7.1,Grip Games,"Action, Platformer, 2D",7,20
Bound by Flame,PC,2014/05/08,56,6.8,Spiders,"Action RPG, Role-Playing, Action RPG",42,436
Tesla Effect: A Tex Murphy Adventure,PC,2014/05/07,68,8.5,Big Finish Games,"Adventure, General, General",33,181
Kentucky Route Zero - Act III,PC,2014/05/06,91,6.7,Cardboard Computer,"Adventure, General",7,174
MLB 14: The Show,PlayStation 4,2014/05/06,83,7.6,SCEA San Diego Studios,"Sports, Traditional, Team, Baseball, Sim, Sim",17,213
Sportsfriends,PlayStation 4,2014/05/06,82,6.3,Die Gute Fabrik,"Sports, Miscellaneous, General, Party, Party / Minigame",21,88
Stick it to the Man!,PlayStation 4,2014/05/06,75,6.8,Zoink!,"Action, Platformer, 3D",12,248
Outlast: Whistleblower,PC,2014/05/06,73,8.1,NA,"Action Adventure, Horror, Survival",12,282
God of War Collection,PlayStation Vita,2014/05/06,73,7.9,"Sanzaru Games, Sanzaru Games, Inc.","Action Adventure, Fantasy, Compilation, Miscellaneous, Compilation",28,193
Flockers,PC,2014/05/06,66,5.4,Team17,"Miscellaneous, Puzzle, Action",11,10
Borderlands 2,PlayStation Vita,2014/05/06,64,7.7,Iron Galaxy Studios,"Shooter, Sci-Fi, Action, Shooter, First-Person, Sci-Fi, Arcade",31,375
Bound by Flame,PlayStation 4,2014/05/06,53,5.8,Spiders,"Role-Playing, Action RPG",40,259
Kirby: Triple Deluxe,3DS,2014/05/02,80,8.6,HAL Labs,"General, General, Action, Platformer, 2D",68,336
Mario Golf: World Tour,3DS,2014/05/02,78,8,Camelot Software Planning,"Sports, Traditional, Individual, Golf, Arcade, Arcade",73,96
"Sir, You Are Being Hunted",PC,2014/05/02,63,6.5,Big Robot Ltd,"Shooter, Sci-Fi, Sci-Fi, Action, Action Adventure, Shooter, Survival, First-Person, Arcade",25,71
Stick it to the Man!,Wii U,2014/05/01,81,7.6,Zoink!,"Action, Platformer, 3D",11,27
Picross e4,3DS,2014/05/01,68,NA,Jupiter Corporation,"Miscellaneous, Puzzle, Logic",8,NA
Abyss,Wii U,2014/05/01,59,6.5,EnjoyUp Games,"Action, General, Platformer, 2D",7,12
Jet Car Stunts,PC,2014/05/01,57,7.2,True Axis,"Action, Racing, General, Arcade, Automobile",9,6
Child of Light,Xbox One,2014/04/30,82,7.7,Ubisoft Montreal,"Action, General, General, Role-Playing, General",32,280
Child of Light,Wii U,2014/04/29,84,8.4,Ubisoft Montreal,"Action, Role-Playing, General, General, General",7,163
Child of Light,PlayStation 4,2014/04/29,82,8,Ubisoft Montreal,"Action, General, General, Role-Playing, General",46,632
Star Wars Pinball: Heroes Within,PlayStation 4,2014/04/29,80,5.2,Zen Studios,"Action, Miscellaneous, Parlor, Pinball",9,28
Child of Light,PC,2014/04/29,77,8.1,Ubisoft Montreal,"Action, Role-Playing, General, General",16,560
JoJo's Bizarre Adventure: All-Star Battle,PlayStation 3,2014/04/29,71,8.2,CyberConnect2,"Fighting, 3D, Action, Fighting, 3D",53,91
The Amazing Spider-Man 2,PC,2014/04/29,57,5.6,Beenox,"Action, Action Adventure, General, Open-World",9,184
The Amazing Spider-Man 2,Xbox 360,2014/04/29,55,6.3,Beenox,"General, Action, Action Adventure, General, Open-World",7,72
Daylight,PC,2014/04/29,51,4.3,Zombie Studios,"Horror, Action Adventure, Horror, Survival",59,198
