,game_name.meta,platform.meta,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating,game_name.vg,platform.vg,sales
1481,Button City,PlayStation 5,2021/08/10,66,NA,Subliminal,Adventure,10,NA,Button City,PlayStation 5,NA
1482,Button City,Switch,2021/08/10,71,NA,Subliminal,Adventure,8,NA,Button City,Switch,NA
1483,Buzz! Junior: Dino Den,PlayStation 2,2008/09/25,69,NA,SCEE,Miscellaneous,8,NA,Buzz! Junior: Dino Den,PlayStation 2,NA
1484,Buzz! Junior: Jungle Party,PlayStation 2,2007/10/02,70,8,Magenta Software,Miscellaneous,13,9,Buzz! Junior: Jungle Party,PlayStation 2,NA
1485,Buzz! Junior: RoboJam,PlayStation 2,2008/03/11,62,NA,Cohort Studios,Miscellaneous,10,NA,Buzz! Junior: RoboJam,PlayStation 2,NA
1486,Buzz Lightyear of Star Command,Dreamcast,2000/09/26,55,8.3,Traveller's Tales,Action,16,6,Buzz Lightyear of Star Command,Dreamcast,NA
1487,Buzz Lightyear of Star Command,PlayStation,2000/09/26,54,7.1,Traveller's Tales,Action,10,14,Buzz Lightyear of Star Command,PlayStation,NA
1488,Buzz! Quiz TV,PlayStation 3,2008/09/23,80,7.2,Relentless Software,Miscellaneous,48,31,Buzz! Quiz TV,PlayStation 3,NA
1489,Buzz! Quiz World,PlayStation 3,2009/11/11,80,7.9,Relentless Software,Miscellaneous,33,20,BUZZ! Quiz World,PlayStation 3,NA
1490,Buzz! The Hollywood Quiz,PlayStation 2,2008/03/11,77,7.5,Relentless Software,Miscellaneous,22,6,Buzz! The Hollywood Quiz,PlayStation 2,NA
1491,Buzz! The Mega Quiz,PlayStation 2,2007/10/30,75,8.7,Relentless Software,Miscellaneous,24,20,Buzz! The Mega Quiz,PlayStation 2,NA
1492,BYE-BYE BOXBOY!,3DS,2017/04/12,83,7.9,HAL Labs,Puzzle,23,29,Bye-Bye Box Boy!,3DS,NA
1493,C-12: Final Resistance,PlayStation,2002/07/22,63,8.2,SCE Studio Cambridge,Action,12,31,(c-12) Final Resistance,PlayStation,NA
1494,Cabela's Big Game Hunter,PlayStation 2,2002/11/26,59,8,Sand Grain Studios,Sports,7,11,Cabela's Big Game Hunter,PlayStation 2,NA
1495,Cabela's Dangerous Hunts 2011,Xbox 360,2010/10/19,55,6,Activision,Sports,7,4,Cabela's Dangerous Hunts 2011,Xbox 360,NA
1496,Caesar IV,PC,2006/09/26,74,7.9,Tilted Mill,Strategy,32,67,Caesar IV,PC,NA
1497,Cake Bash,PlayStation 4,2020/10/15,76,6,High Tea Frog,Miscellaneous,13,9,Cake Bash,PlayStation 4,NA
1498,Cake Bash,Switch,2020/11/19,75,NA,Coatsink Software,Miscellaneous,8,NA,Cake Bash,Switch,NA
1499,Cake Mania,DS,2007/04/09,55,6.1,Digital Embryo,Miscellaneous,23,7,Cake Mania,DS,NA
1500,Call of Cthulhu,PlayStation 4,2018/10/30,63,7.1,"Cyanide, Cyanide Studios",Playing,47,201,Call of Cthulhu,PlayStation 4,NA
1501,Call of Cthulhu,Xbox One,2018/10/30,66,6.4,"Cyanide, Cyanide Studios",Playing,12,62,Call of Cthulhu,Xbox One,NA
1502,Call of Cthulhu: Dark Corners of the Earth,PC,2006/04/26,76,7.6,Headfirst Productions,Action Adventure,17,240,Call of Cthulhu: Dark Corners of the Earth,PC,NA
1503,Call of Cthulhu: Dark Corners of the Earth,Xbox,2005/10/24,77,8.2,Headfirst Productions,Action Adventure,51,47,Call of Cthulhu: Dark Corners of the Earth,Xbox,NA
1504,Call of Duty,PC,2003/10/29,91,8.4,Infinity Ward,Action,44,1251,Call of Duty,PC,NA
1505,Call of Duty 2,PC,2005/10/25,86,8.5,Infinity Ward,Action,64,1122,Call of Duty 2,PC,NA
1506,Call of Duty 2,Xbox 360,2005/11/17,89,8.3,Infinity Ward,Action,65,400,Call of Duty 2,Xbox 360,NA
1507,Call of Duty 2: Big Red One,GameCube,2005/11/01,76,7.5,Treyarch,Action,28,19,Call of Duty 2: Big Red One,GameCube,NA
1508,Call of Duty 2: Big Red One,PlayStation 2,2005/11/01,77,7.9,Treyarch,Action,39,112,Call of Duty 2: Big Red One,PlayStation 2,NA
1509,Call of Duty 2: Big Red One,Xbox,2005/11/01,78,5.2,Treyarch,Action,46,33,Call Of Duty 2: Big Red One,Xbox,NA
1510,Call of Duty 3,PlayStation 2,2006/11/07,82,7.6,Treyarch,Action,14,137,Call of Duty 3,PlayStation 2,NA
1511,Call of Duty 3,PlayStation 3,2006/11/14,80,7,Treyarch,Action,43,124,Call of Duty 3,PlayStation 3,NA
1512,Call of Duty 3,Wii,2006/11/14,69,6.7,Exakt,Action,42,70,Call of Duty 3,Wii,NA
1513,Call of Duty 3,Xbox,2006/11/07,83,7,Treyarch,Action,12,25,Call of Duty 3,Xbox,NA
1514,Call of Duty 3,Xbox,2006/11/07,83,7,Treyarch,Action,12,25,Call of Duty 3,Xbox,NA
1515,Call of Duty 3,Xbox 360,2006/11/07,82,6.7,Treyarch,Action,71,302,Call of Duty 3,Xbox 360,NA
1516,Call of Duty 4: Modern Warfare,DS,2007/11/05,75,6.1,NA,NA,NA,NA,Call of Duty 4: Modern Warfare,DS,NA
1517,Call of Duty 4: Modern Warfare,PC,2007/11/05,92,8.5,Infinity Ward,Action,40,3726,Call of Duty 4: Modern Warfare,PC,NA
1518,Call of Duty 4: Modern Warfare,PlayStation 3,2007/11/05,94,8.4,Infinity Ward,Action,44,1329,Call of Duty 4: Modern Warfare,PlayStation 3,NA
1519,Call of Duty 4: Modern Warfare,Xbox 360,2007/11/05,94,8.5,Infinity Ward,Action,70,1577,Call of Duty 4: Modern Warfare,Xbox 360,NA
1520,Call of Duty: Advanced Warfare,PC,2014/11/03,78,4.8,Sledgehammer Games,Action,18,1324,Call of Duty: Advanced Warfare,PC,NA
1521,Call of Duty: Advanced Warfare,PlayStation 4,2014/11/03,83,5.9,Sledgehammer Games,Action,39,1768,Call of Duty: Advanced Warfare,PlayStation 4,NA
1522,Call of Duty: Advanced Warfare,Xbox One,2014/11/03,81,5.6,Sledgehammer Games,Action,53,970,Call of Duty: Advanced Warfare,Xbox One,NA
1523,Call of Duty: Black Ops,DS,2010/11/09,74,6.4,n-Space,Action,13,60,Call of Duty: Black Ops,DS,NA
1524,Call of Duty: Black Ops,PC,2010/11/09,81,5.8,Treyarch,Action,29,2108,Call of Duty: Black Ops,PC,NA
1525,Call of Duty: Black Ops,PlayStation 3,2010/11/09,88,6.9,Treyarch,Action,58,1402,Call of Duty: Black Ops,PlayStation 3,NA
1526,Call of Duty: Black Ops,Wii,2010/11/09,80,6.1,Treyarch,Action,25,101,Call of Duty: Black Ops,Wii,NA
1527,Call of Duty: Black Ops,Xbox 360,2010/11/09,87,6.7,Treyarch,Action,89,1712,Call of Duty: Black Ops,Xbox 360,NA
1528,Call of Duty: Black Ops Cold War,PC,2020/11/13,76,3.5,"Raven Software, Treyarch",Action,28,745,Call of Duty: Black Ops Cold War,PC,NA
1529,Call of Duty: Black Ops Cold War,PlayStation 5,2020/11/13,76,4.8,"Raven Software, Treyarch",Action,38,642,Call of Duty: Black Ops Cold War,PlayStation 5,NA
1530,Call of Duty: Black Ops Cold War,Xbox Series X,2020/11/13,76,4.1,"Raven Software, Treyarch",Action,21,693,Call of Duty: Black Ops Cold War,Xbox Series X,NA
1531,Call of Duty: Black Ops Declassified,PlayStation Vita,2012/11/13,33,5,Nihilistic,Shooter,58,522,Call of Duty Black Ops: Declassified,PlayStation Vita,NA
1532,Call of Duty: Black Ops II,PC,2012/11/12,74,4.8,Treyarch,Action,11,1982,Call of Duty: Black Ops II,PC,NA
1533,Call of Duty: Black Ops II,PlayStation 3,2012/11/13,83,5.9,Treyarch,Action,21,1160,Call of Duty: Black Ops II,PlayStation 3,NA
1534,Call of Duty: Black Ops II,Wii U,2012/11/18,81,6.9,Treyarch,Action,31,260,Call of Duty: Black Ops II,Wii U,NA
1535,Call of Duty: Black Ops II,Xbox 360,2012/11/13,83,5.4,Treyarch,Action,73,2618,Call of Duty: Black Ops II,Xbox 360,NA
1536,Call of Duty: Finest Hour,GameCube,2004/11/16,74,7.2,Exakt,Action,31,22,Call of Duty: Finest Hour,GameCube,NA
1537,Call of Duty: Finest Hour,PlayStation 2,2004/11/16,76,7.3,Spark Unlimited,Action,49,112,Call of Duty: Finest Hour,PlayStation 2,NA
1538,Call of Duty: Finest Hour,Xbox,2004/11/16,73,7.5,Spark Unlimited,Action,55,32,Call of Duty: Finest Hour,Xbox,NA
1539,Call of Duty: Ghosts,PC,2013/11/04,68,2.3,Infinity Ward,Action,14,3575,Call of Duty: Ghosts,PC,NA
1540,Call of Duty: Ghosts,PlayStation 3,2013/11/05,71,2.9,Infinity Ward,Action,10,1100,Call of Duty: Ghosts,PlayStation 3,NA
1541,Call of Duty: Ghosts,PlayStation 4,2013/11/15,78,4.1,Infinity Ward,Action,49,1770,Call of Duty: Ghosts,PlayStation 4,NA
1542,Call of Duty: Ghosts,Xbox 360,2013/11/05,73,2.8,Infinity Ward,Action,29,2140,Call of Duty: Ghosts,Xbox 360,NA
1543,Call of Duty: Ghosts,Xbox One,2013/11/19,78,4.4,Infinity Ward,Action,7,745,Call of Duty: Ghosts,Xbox One,NA
1544,Call of Duty: Infinite Warfare,PC,2016/11/03,73,4.1,NA,NA,NA,NA,Call of Duty: Infinite Warfare,PC,NA
1545,Call of Duty: Infinite Warfare,PlayStation 4,2016/11/04,77,4.3,Infinity Ward,Action,87,1851,Call of Duty: Infinite Warfare,PlayStation 4,NA
1546,Call of Duty: Infinite Warfare,Xbox One,2016/11/04,78,4.4,Infinity Ward,Action,18,491,Call of Duty: Infinite Warfare,Xbox One,NA
1547,Call of Duty: Modern Warfare,PC,2019/10/25,81,2.6,Infinity Ward,Action,27,3745,Call of Duty: Modern Warfare,PC,NA
1548,Call of Duty: Modern Warfare,PlayStation 4,2019/10/25,80,3.5,Infinity Ward,Action,78,9774,Call of Duty: Modern Warfare,PlayStation 4,NA
1549,Call of Duty: Modern Warfare,Xbox One,2019/10/25,80,3.9,Infinity Ward,Action,22,1351,Call of Duty: Modern Warfare,Xbox One,NA
1550,Call of Duty: Modern Warfare - Mobilized,DS,2009/11/10,73,7,NA,NA,NA,NA,Call of Duty: Modern Warfare: Mobilized,DS,NA
1551,Call of Duty: Modern Warfare - Reflex Edition,Wii,2009/11/10,76,8.1,Treyarch,Action,45,129,Call of Duty: Modern Warfare: Reflex Edition,Wii,NA
1552,Call of Duty: Modern Warfare 2,PC,2009/11/10,86,4.7,Infinity Ward,Action,40,7305,Call of Duty: Modern Warfare 2,PC,NA
1553,Call of Duty: Modern Warfare 2,PlayStation 3,2009/11/10,94,6.7,Infinity Ward,Action,67,2574,Call of Duty: Modern Warfare 2,PlayStation 3,NA
1554,Call of Duty: Modern Warfare 2,Xbox 360,2009/11/10,94,6.6,Infinity Ward,Action,100,3089,Call of Duty: Modern Warfare 2,Xbox 360,NA
1555,Call of Duty: Modern Warfare 3,PC,2011/11/08,78,3,"Infinity Ward, Sledgehammer Games",Action,26,5643,Call of Duty: Modern Warfare 3,PC,NA
1556,Call of Duty: Modern Warfare 3,PlayStation 3,2011/11/08,88,3.4,"Infinity Ward, Sledgehammer Games",Action,39,5365,Call of Duty: Modern Warfare 3,PlayStation 3,NA
1557,Call of Duty: Modern Warfare 3,Wii,2011/11/08,70,2,"Treyarch, Sledgehammer Games",Action,16,450,Call of Duty: Modern Warfare 3,Wii,NA
1558,Call of Duty: Modern Warfare 3,Xbox 360,2011/11/08,88,3.5,"Infinity Ward, Sledgehammer Games",Action,81,8671,Call of Duty: Modern Warfare 3,Xbox 360,NA
1559,Call of Duty: Modern Warfare 3 - Defiance,DS,2011/11/08,57,1.2,n-Space,Action,9,259,Call of Duty: Modern Warfare 3: Defiance,DS,NA
1560,Call of Duty: Modern Warfare II,PC,2022/10/28,80,6.1,Infinity Ward,Arcade,20,181,Call of Duty: Modern Warfare II,PC,NA
1561,Call of Duty: Modern Warfare II,PlayStation 5,2022/10/28,78,5.4,Infinity Ward,Arcade,34,397,Call of Duty: Modern Warfare II,PlayStation 5,NA
1562,Call of Duty: Modern Warfare II,Xbox Series X,2022/10/28,77,7.2,Infinity Ward,Action,13,121,Call of Duty: Modern Warfare II,Xbox Series X,NA
1563,Call of Duty: Modern Warfare Remastered,PlayStation 4,2016/11/04,83,7.5,Infinity Ward,Arcade,27,750,Call of Duty: Modern Warfare Remastered,PlayStation 4,NA
1564,Call of Duty: United Offensive,PC,2004/09/14,87,8.2,Gray Matter,Action,54,345,Call of Duty: United Offensive,PC,NA
